     Alpha       T1-15.0 m/s-VLM2    
           -2          15.47206  
         -1.5           17.7281  
           -1          19.46751  
         -0.5          20.81971  
            0          21.85228  
          0.5          22.60769  
            1          23.12478  
          1.5          23.44288  
            2          23.60144  
          2.5          23.63496  
            3          23.56707  
          3.5          23.41756  
            4          23.20605  
          4.5          22.95047  
            5          22.67905  
          5.5          22.40924  
            6          22.14826  
          6.5          21.88762  
            7          21.59683  
          7.5          20.77183  
            8           18.6298  

