     Alpha       T1-15.0 m/s-VLM2    
           -2         0.2416736  
         -1.5         0.2886801  
           -1         0.3356533  
         -0.5         0.3825863  
            0         0.4294722  
          0.5          0.476304  
            1          0.523075  
          1.5         0.5697782  
            2         0.6164068  
          2.5         0.6629541  
            3         0.7094132  
          3.5         0.7557774  
            4           0.80204  
          4.5         0.8481943  
            5         0.8942338  
          5.5         0.9401518  
            6         0.9859418  
          6.5          1.031597  
            7          1.077112  
          7.5          1.122479  
            8          1.167693  

