     CD       T1-15.0 m/s-VLM2    
      0.01562         0.2416736  
   0.01628376         0.2886801  
   0.01724171         0.3356533  
   0.01837616         0.3825863  
   0.01965343         0.4294722  
   0.02106823          0.476304  
   0.02261968          0.523075  
   0.02430496         0.5697782  
   0.02611734         0.6164068  
   0.02804972         0.6629541  
   0.03010188         0.7094132  
   0.03227396         0.7557774  
   0.03456167           0.80204  
    0.0369576         0.8481943  
   0.03942995         0.8942338  
   0.04195376         0.9401518  
   0.04451554         0.9859418  
   0.04713154          1.031597  
   0.04987361          1.077112  
   0.05403852          1.122479  
   0.06267876          1.167693  

