     Alpha       T1-15.0 m/s-VLM2    
           -2         0.1521782  
         -1.5         0.1154679  
           -1        0.07863339  
         -0.5        0.04167402  
            0       0.004598932  
          0.5       -0.03257955  
            1       -0.06984862  
          1.5        -0.1071966  
            2        -0.1446112  
          2.5        -0.1820815  
            3        -0.2196025  
          3.5        -0.2571765  
            4         -0.294802  
          4.5        -0.3324682  
            5        -0.3701479  
          5.5         -0.407822  
            6        -0.4454868  
          6.5        -0.4831403  
            7        -0.5207548  
          7.5        -0.5581436  
            8        -0.5947085  

