     s       New curve 0    
            0               0.1  
         0.15       -0.01197567  
          0.3      0.0005020755  
         0.45     -0.0003032073  
          0.6     -0.0004702258  
         0.75     -0.0005476078  
          0.9     -0.0006461966  
         1.05     -0.0007348421  
          1.2     -0.0008170267  
         1.35     -0.0008917856  
          1.5     -0.0009585564  
         1.65      -0.001016852  
          1.8      -0.001066255  
         1.95      -0.001106423  
          2.1      -0.001137097  
         2.25      -0.001158094  
          2.4      -0.001169318  
         2.55      -0.001170749  
          2.7      -0.001162454  
         2.85      -0.001144577  
            3      -0.001117341  
         3.15      -0.001081045  
          3.3      -0.001036061  
         3.45     -0.0009828296  
          3.6     -0.0009218575  
         3.75     -0.0008537108  
          3.9     -0.0007790112  
         4.05     -0.0006984295  
          4.2     -0.0006126805  
         4.35      -0.000522516  
          4.5     -0.0004287188  
         4.65     -0.0003320955  
          4.8       -0.00023347  
         4.95     -0.0001336766  
          5.1      -3.35523e-05  
         5.25      6.606928e-05  
          5.4      0.0001643654  
         5.55      0.0002605306  
          5.7      0.0003537834  
         5.85      0.0004433729  
            6       0.000528584  
         6.15      0.0006087437  
          6.3      0.0006832263  
         6.45      0.0007514579  
          6.6      0.0008129211  
         6.75      0.0008671587  
          6.9      0.0009137768  
         7.05       0.000952448  
          7.2      0.0009829135  
         7.35       0.001004984  
          7.5       0.001018543  
         7.65       0.001023544  
          7.8       0.001020011  
         7.95       0.001008041  
          8.1       0.000987799  
         8.25      0.0009595175  
          8.4       0.000923494  
         8.55      0.0008800877  
          8.7      0.0008297165  
         8.85      0.0007728527  
            9      0.0007100189  
         9.15      0.0006417831  
          9.3      0.0005687536  
         9.45       0.000491574  
          9.6      0.0004109171  
         9.75      0.0003274794  
          9.9       0.000241975  
        10.05      0.0001551296  
         10.2      6.767438e-05  
        10.35     -1.966019e-05  
         10.5     -0.0001061502  
        10.65     -0.0001910846  
         10.8     -0.0002737706  
        10.95     -0.0003535396  
         11.1     -0.0004297524  
        11.25     -0.0005018042  
         11.4     -0.0005691295  
        11.55     -0.0006312066  
         11.7     -0.0006875612  
        11.85     -0.0007377703  
           12     -0.0007814652  
        12.15      -0.000818334  
         12.3     -0.0008481241  
        12.45     -0.0008706435  
         12.6      -0.000885762  
        12.75     -0.0008934119  
         12.9      -0.000893588  
        13.05     -0.0008863471  
