     s       New curve 0    
            0      7.765026e-19  
         0.15       0.002588405  
          0.3       0.001943437  
         0.45       0.001979353  
          0.6       0.001913803  
         0.75       0.001838533  
          0.9       0.001748823  
         1.05       0.001645167  
          1.2       0.001528689  
         1.35       0.001400431  
          1.5       0.001261553  
         1.65       0.001113288  
          1.8      0.0009569417  
         1.95      0.0007938736  
          2.1      0.0006254895  
         2.25      0.0004532284  
          2.4        0.00027855  
         2.55      0.0001029228  
          2.7     -7.218833e-05  
         2.85     -0.0002453343  
            3     -0.0004150934  
         3.15     -0.0005800835  
          3.3     -0.0007389724  
         3.45     -0.0008904893  
          3.6      -0.001033434  
         3.75      -0.001166688  
          3.9       -0.00128922  
         4.05      -0.001400097  
          4.2       -0.00149849  
         4.35       -0.00158368  
          4.5      -0.001655063  
         4.65      -0.001712154  
          4.8      -0.001754592  
         4.95      -0.001782137  
          5.1      -0.001794678  
         5.25      -0.001792228  
          5.4      -0.001774924  
         5.55      -0.001743025  
          5.7       -0.00169691  
         5.85      -0.001637073  
            6      -0.001564117  
         6.15      -0.001478751  
          6.3      -0.001381778  
         6.45      -0.001274095  
          6.6      -0.001156679  
         6.75       -0.00103058  
          6.9     -0.0008969128  
         7.05     -0.0007568448  
          7.2     -0.0006115888  
         7.35     -0.0004623906  
          7.5     -0.0003105191  
         7.65     -0.0001572556  
          7.8     -3.882847e-06  
         7.95      0.0001483256  
          8.1      0.0002981157  
         8.25      0.0004442632  
          8.4      0.0005855838  
         8.55      0.0007209422  
          8.7      0.0008492617  
         8.85      0.0009695324  
            9       0.001080819  
         9.15       0.001182268  
          9.3       0.001273114  
         9.45       0.001352686  
          9.6       0.001420412  
         9.75       0.001475823  
          9.9       0.001518553  
        10.05       0.001548348  
         10.2       0.001565061  
        10.35       0.001568656  
         10.5       0.001559206  
        10.65       0.001536889  
         10.8       0.001501993  
        10.95       0.001454904  
         11.1       0.001396109  
        11.25       0.001326186  
         11.4       0.001245804  
        11.55        0.00115571  
         11.7       0.001056728  
        11.85      0.0009497488  
           12      0.0008357226  
        12.15      0.0007156507  
         12.3      0.0005905765  
        12.45      0.0004615771  
         12.6      0.0003297536  
        12.75       0.000196222  
         12.9       6.21038e-05  
        13.05     -7.148344e-05  
         13.2     -0.0002034353  
        13.35     -0.0003326694  
         13.5     -0.0004581346  
        13.65      -0.000578819  
         13.8     -0.0006937585  
        13.95      -0.000802044  
         14.1     -0.0009028288  
        14.25      -0.000995335  
         14.4       -0.00107886  
        14.55      -0.001152779  
         14.7      -0.001216556  
        14.85      -0.001269739  
           15       -0.00131197  
        15.15      -0.001342984  
         15.3      -0.001362611  
        15.45      -0.001370777  
         15.6      -0.001367504  
        15.75      -0.001352908  
         15.9      -0.001327198  
        16.05      -0.001290675  
         16.2      -0.001243726  
        16.35      -0.001186822  
         16.5      -0.001120512  
        16.65      -0.001045422  
         16.8     -0.0009622412  
        16.95     -0.0008717243  
         17.1     -0.0007746795  
        17.25     -0.0006719629  
         17.4     -0.0005644713  
        17.55     -0.0004531339  
         17.7     -0.0003389047  
        17.85     -0.0002227542  
           18     -0.0001056613  
        18.15       1.13949e-05  
         18.3      0.0001274433  
        18.45      0.0002415288  
         18.6      0.0003527198  
        18.75      0.0004601163  
         18.9      0.0005628565  
        19.05      0.0006601242  
         19.2       0.000751155  
        19.35      0.0008352419  
         19.5      0.0009117414  
        19.65      0.0009800778  
         19.8       0.001039748  
        19.95       0.001090324  
         20.1       0.001131457  
        20.25       0.001162879  
         20.4       0.001184406  
        20.55       0.001195936  
         20.7       0.001197452  
        20.85       0.001189018  
           21       0.001170783  
        21.15       0.001142974  
         21.3       0.001105897  
        21.45       0.001059932  
         21.6       0.001005529  
        21.75      0.0009432063  
         21.9      0.0008735423  
        22.05      0.0007971725  
         22.2       0.000714783  
        22.35      0.0006271046  
         22.5       0.000534906  
        22.65      0.0004389878  
         22.8      0.0003401748  
        22.95      0.0002393097  
         23.1      0.0001372456  
        23.25      3.483877e-05  
         23.4     -6.705822e-05  
        23.55     -0.0001676038  
         23.7      -0.000265974  
        23.85     -0.0003613695  
           24      -0.000453022  
        24.15     -0.0005401998  
         24.3     -0.0006222147  
        24.45     -0.0006984261  
         24.6     -0.0007682469  
        24.75     -0.0008311476  
         24.9     -0.0008866601  
        25.05     -0.0009343814  
         25.2     -0.0009739763  
        25.35       -0.00100518  
         25.5      -0.001027798  
        25.65       -0.00104171  
         25.8      -0.001046869  
        25.95        -0.0010433  
         26.1      -0.001031101  
        26.25       -0.00101044  
         26.4     -0.0009815554  
        26.55     -0.0009447503  
         26.7     -0.0009003922  
        26.85      -0.000848908  
           27     -0.0007907807  
        27.15     -0.0007265445  
         27.3       -0.00065678  
        27.45     -0.0005821094  
         27.6     -0.0005031906  
        27.75     -0.0004207116  
         27.9     -0.0003353848  
        28.05     -0.0002479404  
         28.2     -0.0001591207  
        28.35     -6.967339e-05  
         28.5      1.965427e-05  
        28.65      0.0001081219  
         28.8      0.0001950021  
        28.95      0.0002795863  
         29.1      0.0003611903  
        29.25      0.0004391603  
         29.4      0.0005128776  
        29.55      0.0005817635  
         29.7      0.0006452842  
        29.85      0.0007029542  
           30      0.0007543408  
        30.15      0.0007990664  
         30.3      0.0008368119  
        30.45      0.0008673185  
         30.6      0.0008903895  
        30.75      0.0009058914  
         30.9      0.0009137547  
        31.05      0.0009139736  
         31.2      0.0009066061  
        31.35      0.0008917725  
         31.5       0.000869654  
        31.65      0.0008404911  
         31.8      0.0008045807  
        31.95      0.0007622736  
         32.1      0.0007139706  
        32.25      0.0006601195  
         32.4      0.0006012104  
