     s       New curve 0    
            0     -3.726945e-20  
         0.15     -7.699224e-05  
          0.3     -0.0001294959  
         0.45     -0.0001783979  
          0.6     -0.0002262161  
         0.75     -0.0002716654  
          0.9     -0.0003145167  
         1.05     -0.0003544232  
          1.2     -0.0003910771  
         1.35     -0.0004241996  
          1.5     -0.0004535434  
         1.65     -0.0004788945  
          1.8     -0.0005000736  
         1.95     -0.0005169375  
          2.1     -0.0005293799  
         2.25     -0.0005373321  
          2.4     -0.0005407631  
         2.55     -0.0005396798  
          2.7     -0.0005341262  
         2.85     -0.0005241835  
            3     -0.0005099682  
         3.15     -0.0004916319  
          3.3     -0.0004693586  
         3.45     -0.0004433641  
          3.6      -0.000413893  
         3.75     -0.0003812171  
          3.9     -0.0003456325  
         4.05     -0.0003074573  
          4.2     -0.0002670284  
         4.35     -0.0002246989  
          4.5     -0.0001808349  
         4.65     -0.0001358125  
          4.8     -9.001419e-05  
         4.95     -4.382623e-05  
          5.1      2.365092e-06  
         5.25      4.817642e-05  
          5.4      9.323054e-05  
         5.55      0.0001371595  
          5.7      0.0001796075  
         5.85      0.0002202338  
            6      0.0002587155  
         6.15        0.00029475  
          6.3      0.0003280573  
         6.45      0.0003583823  
          6.6      0.0003854967  
         6.75      0.0004092004  
          6.9      0.0004293233  
         7.05      0.0004457265  
          7.2      0.0004583027  
         7.35      0.0004669775  
          7.5      0.0004717093  
         7.65      0.0004724897  
          7.8      0.0004693429  
         7.95      0.0004623257  
          8.1      0.0004515266  
         8.25      0.0004370647  
          8.4      0.0004190885  
         8.55      0.0003977747  
          8.7      0.0003733261  
         8.85      0.0003459702  
            9      0.0003159566  
         9.15      0.0002835552  
          9.3      0.0002490534  
         9.45      0.0002127539  
          9.6      0.0001749721  
         9.75      0.0001360329  
          9.9      9.626871e-05  
        10.05      5.601581e-05  
         10.2      1.561208e-05  
        10.35     -2.460598e-05  
         10.5     -6.430609e-05  
        10.65     -0.0001031628  
         10.8     -0.0001408603  
        10.95     -0.0001770947  
         11.1     -0.0002115768  
        11.25      -0.000244034  
         11.4     -0.0002742129  
        11.55     -0.0003018807  
         11.7     -0.0003268274  
        11.85     -0.0003488673  
           12     -0.0003678401  
        12.15     -0.0003836123  
         12.3      -0.000396078  
        12.45     -0.0004051595  
         12.6     -0.0004108078  
        12.75      -0.000413003  
         12.9     -0.0004117536  
        13.05     -0.0004070969  
         13.2     -0.0003990982  
        13.35       -0.00038785  
         13.5     -0.0003734708  
        13.65     -0.0003561045  
         13.8     -0.0003359185  
        13.95     -0.0003131023  
         14.1     -0.0002878657  
        14.25     -0.0002604372  
         14.4     -0.0002310613  
        14.55     -0.0001999971  
         14.7     -0.0001675156  
        14.85     -0.0001338973  
           15     -9.943006e-05  
        15.15     -6.440662e-05  
         15.3     -2.912194e-05  
        15.45      6.129141e-06  
         15.6      4.105434e-05  
        15.75      7.536637e-05  
         15.9      0.0001087853  
