     s       New curve 0    
            0      1.884648e-19  
         0.15      0.0001463048  
          0.3     -2.297248e-05  
         0.45      1.007652e-05  
          0.6      8.552213e-06  
         0.75      1.048725e-05  
          0.9      1.217213e-05  
         1.05      1.371643e-05  
          1.2      1.514232e-05  
         1.35      1.643039e-05  
          1.5      1.757215e-05  
         1.65      1.855917e-05  
          1.8      1.938447e-05  
         1.95      2.004247e-05  
          2.1      2.052901e-05  
         2.25      2.084139e-05  
          2.4      2.097838e-05  
         2.55       2.09402e-05  
          2.7      2.072855e-05  
         2.85      2.034653e-05  
            3      1.979864e-05  
         3.15      1.909072e-05  
          3.3      1.822989e-05  
         3.45       1.72245e-05  
          3.6      1.608401e-05  
         3.75      1.481895e-05  
          3.9      1.344077e-05  
         4.05      1.196181e-05  
          4.2      1.039511e-05  
         4.35      8.754377e-06  
          4.5      7.053792e-06  
         4.65      5.307936e-06  
          4.8      3.531652e-06  
         4.95      1.739918e-06  
          5.1     -5.227636e-08  
         5.25     -1.830055e-06  
          5.4     -3.578777e-06  
         5.55     -5.284158e-06  
          5.7     -6.932382e-06  
         5.85     -8.510217e-06  
            6     -1.000512e-05  
         6.15     -1.140533e-05  
          6.3     -1.269997e-05  
         6.45     -1.387911e-05  
          6.6     -1.493388e-05  
         6.75     -1.585648e-05  
          6.9      -1.66403e-05  
         7.05     -1.727992e-05  
          7.2     -1.777114e-05  
         7.35     -1.811105e-05  
          7.5     -1.829801e-05  
         7.65     -1.833167e-05  
          7.8     -1.821293e-05  
         7.95     -1.794398e-05  
          8.1     -1.752821e-05  
         8.25     -1.697023e-05  
          8.4     -1.627577e-05  
         8.55     -1.545166e-05  
          8.7     -1.450575e-05  
         8.85     -1.344684e-05  
            9      -1.22846e-05  
         9.15     -1.102948e-05  
          9.3     -9.692626e-06  
         9.45     -8.285764e-06  
          9.6     -6.821117e-06  
         9.75      -5.31129e-06  
          9.9     -3.769166e-06  
        10.05     -2.207793e-06  
         10.2     -6.402804e-07  
        10.35       9.20317e-07  
         10.5      2.461102e-06  
        10.65      3.969442e-06  
         10.8      5.433074e-06  
        10.95        6.8402e-06  
         11.1      8.179583e-06  
        11.25      9.440637e-06  
         11.4      1.061351e-05  
        11.55      1.168915e-05  
         11.7       1.26594e-05  
        11.85      1.351702e-05  
           12      1.425577e-05  
        12.15      1.487046e-05  
         12.3      1.535695e-05  
        12.45       1.57122e-05  
         12.6      1.593429e-05  
        12.75      1.602241e-05  
         12.9      1.597688e-05  
        13.05      1.579912e-05  
         13.2      1.549163e-05  
        13.35      1.505798e-05  
         13.5      1.450275e-05  
        13.65       1.38315e-05  
         13.8      1.305071e-05  
        13.95       1.21677e-05  
         14.1       1.11906e-05  
        14.25      1.012826e-05  
         14.4      8.990162e-06  
        14.55      7.786333e-06  
         14.7      6.527278e-06  
        14.85      5.223878e-06  
           15      3.887296e-06  
        15.15      2.528882e-06  
         15.3      1.160079e-06  
        15.45     -2.076719e-07  
         15.6     -1.563029e-06  
        15.75     -2.894841e-06  
         15.9     -4.192239e-06  
        16.05     -5.444726e-06  
