 PROP RPM =       9000                                                                                																					  
 V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
(mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
 0.0        0.00      0.0000      0.1076      0.0400       0.234       1.642       2.778              
 2.0        0.02      0.0632      0.1061      0.0404       0.237       1.657       2.739              
 4.1        0.05      0.1234      0.1045      0.0407       0.239       1.671       2.696              
 6.1        0.07      0.1806      0.1027      0.0410       0.240       1.683       2.649              
 8.2        0.10      0.2349      0.1007      0.0412       0.242       1.692       2.598              
10.2        0.12      0.2864      0.0986      0.0413       0.242       1.698       2.543              
12.3        0.14      0.3352      0.0962      0.0414       0.243       1.700       2.483              
14.3        0.17      0.3814      0.0937      0.0413       0.242       1.698       2.419              
16.4        0.19      0.4249      0.0911      0.0412       0.242       1.692       2.350              
18.4        0.22      0.4658      0.0882      0.0409       0.240       1.682       2.276              
20.5        0.24      0.5041      0.0852      0.0406       0.238       1.666       2.197              
22.5        0.26      0.5399      0.0819      0.0401       0.235       1.647       2.114              
24.6        0.29      0.5733      0.0785      0.0395       0.231       1.620       2.025              
26.6        0.31      0.6043      0.0747      0.0386       0.226       1.586       1.928              
28.7        0.34      0.6324      0.0708      0.0377       0.221       1.547       1.828              
30.7        0.36      0.6579      0.0668      0.0366       0.215       1.503       1.724              
32.8        0.38      0.6811      0.0627      0.0354       0.207       1.452       1.617              
34.8        0.41      0.7020      0.0584      0.0340       0.199       1.396       1.508              
36.9        0.43      0.7205      0.0541      0.0325       0.190       1.333       1.396              
38.9        0.46      0.7351      0.0497      0.0308       0.181       1.266       1.281              
40.9        0.48      0.7460      0.0451      0.0291       0.170       1.194       1.164              
43.0        0.50      0.7541      0.0405      0.0271       0.159       1.113       1.045              
45.0        0.53      0.7586      0.0358      0.0249       0.146       1.023       0.923              
47.1        0.55      0.7588      0.0309      0.0225       0.132       0.925       0.798              
49.1        0.58      0.7504      0.0260      0.0200       0.117       0.820       0.671              
51.2        0.60      0.7297      0.0209      0.0172       0.101       0.708       0.541              
53.2        0.62      0.6886      0.0158      0.0143       0.084       0.589       0.408              
55.3        0.65      0.6093      0.0106      0.0113       0.066       0.464       0.274              
57.3        0.67      0.4408      0.0053      0.0081       0.048       0.334       0.138              
59.4        0.70     -0.0046      0.0000      0.0050       0.029       0.206      -0.001              
